cum_fraction,mean_income
0,0
0.18,180
0.21,609
0.24,1351
0.28,2451
0.34,3771
0.37,4703
0.41,5847
0.44,6755
0.49,8033
0.52,8851
0.55,9961
0.57,10676
0.61,11948
0.63,12520
0.66,13596
0.68,14166
0.71,15352
0.72,15820
0.74,16668
0.75,17185
0.78,18287
0.79,18721
0.80,19439
0.81,19807
0.83,20734
0.84,21077
0.85,21700
0.85,22007
0.87,22718
0.87,23016
0.88,23659
0.89,23914
0.90,24551
0.90,24809
0.91,25211
0.91,25428
0.92,25913
0.92,26111
0.92,26400
0.93,26621
0.97,30813
0.99,32923
0.99,34058
1.00,37386